id,name,state,forest
612,CRANDALL PK OHV-M/C,California,Stanislaus National Forest
613,COLUMBIA SE OHV-ATV,California,Stanislaus National Forest
614,TWAIN HARTE OHV -M/C,California,Stanislaus National Forest
615,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
616,CRANDALL PK OHV 4X4,California,Stanislaus National Forest
617,CRANDALL PK OHV-M/C,California,Stanislaus National Forest
618,TWAIN HARTE/CRNDLL PK - M/C,California,Stanislaus National Forest
619,TWAIN HARTE OHV-ATV,California,Stanislaus National Forest
620,CRANDALL PK OHV M/C,California,Stanislaus National Forest
621,TWAIN HARTE OHV M/C,California,Stanislaus National Forest
622,MOGOLLON RIM SNOWMOBILE E,Arizona,Tonto National Forest
623,MOGOLLON RIM SNOWMOBILE D,Arizona,Tonto National Forest
624,HANNAH TRAIL,Arizona,Tonto National Forest
625,MOGOLLON RIM SNOWMOBILE B,Arizona,Tonto National Forest
626,HOBO TRAIL,Arizona,Tonto National Forest
627,PIONEERS SHORTCUT #2,Arizona,Tonto National Forest
628,MEADOW,Arizona,Tonto National Forest
629,ROBINSON HOLLOW,Arizona,Tonto National Forest
630,QUIEN SABE,Arizona,Tonto National Forest
631,HOT AIR,Arizona,Tonto National Forest
632,HAGAN CORRAL,Arizona,Tonto National Forest
633,BEAR PEN SPRINGS,Arizona,Tonto National Forest
634,BIG CREEK / RIVERS CREEK,Arizona,Tonto National Forest
635,GROVE DRAW ATV TRAIL,Arizona,Tonto National Forest
636,DRY HOLLOW,Arizona,Tonto National Forest
637,SALT CREEK,Arizona,Tonto National Forest
638,PLEASANT CREEK TRAIL,Arizona,Tonto National Forest
639,FIRST CREEK,Arizona,Tonto National Forest
640,HORSE HOLLOW - COPLEYS,Arizona,Tonto National Forest
641,SOUTH FORK OF PINE CREEK,Arizona,Tonto National Forest
642,BALDWIN RIDGE,Arizona,Tonto National Forest
643,SOUTH BULLION TO GOLD HILL,Arizona,Tonto National Forest
644,BULLION PASTURE - MINERS PARK,Arizona,Tonto National Forest
645,SOUTH FORK OF THREE CREEKS,Arizona,Tonto National Forest
646,NORTH FORK CITY CREEK,Arizona,Tonto National Forest
647,SHINGLE LOOP,Arizona,Tonto National Forest
648,ANTIMONY KNOLL ATV TRAIL,Arizona,Tonto National Forest
649,BLUE LAKE,Arizona,Tonto National Forest
650,SHINGLE CR - NO CR DIVIDE,Arizona,Tonto National Forest
651,SHINGLE CREEK HEADWATERS,Arizona,Tonto National Forest
652,FISH CREEK CATTLE DRIVEWAY,Arizona,Tonto National Forest
653,CORK RIDGE - PINE,Arizona,Tonto National Forest
654,CHOKECHERRY ATV TRAIL,Arizona,Tonto National Forest
655,TANNER HOLLOW - BIG JOHN,Arizona,Tonto National Forest
656,SOUTH FORK OF CITY CREEK,Arizona,Tonto National Forest
657,SOUTH FORK OF BAKER,Arizona,Tonto National Forest
658,TUSHAR RIDGE,Arizona,Tonto National Forest
659,JIM REED CREEK - BOSMAN,Arizona,Tonto National Forest
660,SOUTH FORK OF NORTH CREEK,Arizona,Tonto National Forest
661,DRY BENCH TRAIL,Arizona,Tonto National Forest
662,LOUSY JIM CREEK,Arizona,Tonto National Forest
663,TRAIL 4854,Arizona,Tonto National Forest
664,TRAIL 4825,Arizona,Tonto National Forest
665,PORKIES PASTURE,Arizona,Tonto National Forest
666,FIRST CREEK-JOHN WATTS SPRING,Arizona,Tonto National Forest
667,BEAR CANYON TRAIL,Arizona,Tonto National Forest
668,COTTONWOOD - SUNSET TIE,Arizona,Tonto National Forest
669,CHIDESTER RIDGE TRAIL,Arizona,Tonto National Forest
671,DOG VALLEY - BULL VALLEY,Arizona,Tonto National Forest
672,PINE CREEK,Arizona,Tonto National Forest
673,BIG OAKS - FERGSON,Arizona,Tonto National Forest
674,FREMONT STATE PARK,Arizona,Tonto National Forest
675,SAM HENRIE,Arizona,Tonto National Forest
676,AL GAY - HORSE FLAT CUTOFF,Arizona,Tonto National Forest
677,ALMA CHRISTENSEN,Arizona,Tonto National Forest
678,PINE CREEK TRAIL,Arizona,Tonto National Forest
679,SOLITARE LAKE TRAIL,Arizona,Tonto National Forest
680,HORSE FLAT,Arizona,Tonto National Forest
681,LITTLE NORTH CREEK,Arizona,Tonto National Forest
682,TRAIL CANYON - LOWER FISH CREE,Arizona,Tonto National Forest
683,BIRCH CREEK TRAIL,Arizona,Tonto National Forest
684,WHITE SAGE FLAT - SHINGLEMILL,Arizona,Tonto National Forest
685,LOAFERS,Arizona,Tonto National Forest
686,PIPELINE,Arizona,Tonto National Forest
687,CART WHEEL TRAIL,Arizona,Tonto National Forest
688,TEN MILE,Arizona,Tonto National Forest
689,PUFFER LAKE - SKYLINE,Arizona,Tonto National Forest
690,JEWELL,Arizona,Tonto National Forest
691,LITTLE FORK TRAIL,Arizona,Tonto National Forest
692,SUNDAY LICK,Arizona,Tonto National Forest
693,MCCCT- BWC,Arizona,Tonto National Forest
694,MEADOWS WEST TRAIL,Arizona,Tonto National Forest
695,ROY GAP TRAIL ( SENECA ROCKS T,Arizona,Tonto National Forest
696,FORK MOUNTAIN TRAIL,Arizona,Tonto National Forest
697,NORTH FORK MTN (RED-FR79),Arizona,Tonto National Forest
698,LAUREL FORK NORTH,Arizona,Tonto National Forest
699,SHAVERS FORK TRAIL,Arizona,Tonto National Forest
700,HONEYCOMB ROCKS #490,Arizona,Tonto National Forest
701,FROSTY GAP,Arizona,Tonto National Forest
702,SCAUR,Arizona,Tonto National Forest
703,BERRY FARM SNOMO,Arizona,Tonto National Forest
704,HIX MTN RD SNOMO,Arizona,Tonto National Forest
705,MACK - MALTBY HILLS-M.L.L.T. C,Arizona,Tonto National Forest
706,MEADOWS - MCCCT,Arizona,Tonto National Forest
707,PERRY N BODAY TRAIL,Arizona,Tonto National Forest
708,NEWAYGO-WELLSTON SMT DNR3,Arizona,Tonto National Forest
709,NORTH COUNTRY TRAIL,Arizona,Tonto National Forest
710,ALCONA ATV TRAIL,Arizona,Tonto National Forest
711,MCCT - CAD/MAN,Arizona,Tonto National Forest
712,ROUGH RUN,Arizona,Tonto National Forest
713,POCAHONTAS TRAIL,Arizona,Tonto National Forest
714,WILDLIFE TRAIL,Arizona,Tonto National Forest
715,ALLEGHENY TRAIL # 701A,Arizona,Tonto National Forest
716,GATEWAY,Arizona,Tonto National Forest
